,SOAP Vec. Elem. 0,SOAP Vec. Elem. 1,SOAP Vec. Elem. 2,SOAP Vec. Elem. 3,SOAP Vec. Elem. 4,SOAP Vec. Elem. 5,SOAP Vec. Elem. 6,SOAP Vec. Elem. 7,SOAP Vec. Elem. 8,SOAP Vec. Elem. 9,SOAP Vec. Elem. 10,SOAP Vec. Elem. 11,SOAP Vec. Elem. 12,SOAP Vec. Elem. 13,SOAP Vec. Elem. 14,SOAP Vec. Elem. 15,SOAP Vec. Elem. 16,SOAP Vec. Elem. 17,SOAP Vec. Elem. 18,SOAP Vec. Elem. 19,SOAP Vec. Elem. 20,SOAP Vec. Elem. 21,SOAP Vec. Elem. 22,SOAP Vec. Elem. 23,SOAP Vec. Elem. 24,SOAP Vec. Elem. 25,SOAP Vec. Elem. 26,SOAP Vec. Elem. 27,SOAP Vec. Elem. 28,SOAP Vec. Elem. 29,SOAP Vec. Elem. 30,SOAP Vec. Elem. 31,SOAP Vec. Elem. 32,SOAP Vec. Elem. 33,SOAP Vec. Elem. 34,SOAP Vec. Elem. 35,SOAP Vec. Elem. 36,SOAP Vec. Elem. 37,SOAP Vec. Elem. 38,SOAP Vec. Elem. 39,SOAP Vec. Elem. 40,SOAP Vec. Elem. 41,SOAP Vec. Elem. 42,SOAP Vec. Elem. 43,SOAP Vec. Elem. 44,SOAP Vec. Elem. 45,SOAP Vec. Elem. 46,SOAP Vec. Elem. 47,SOAP Vec. Elem. 48,SOAP Vec. Elem. 49,SOAP Vec. Elem. 50,SOAP Vec. Elem. 51,SOAP Vec. Elem. 52,SOAP Vec. Elem. 53,SOAP Vec. Elem. 54,SOAP Vec. Elem. 55,SOAP Vec. Elem. 56,SOAP Vec. Elem. 57,SOAP Vec. Elem. 58,SOAP Vec. Elem. 59,SOAP Vec. Elem. 60,SOAP Vec. Elem. 61,SOAP Vec. Elem. 62,SOAP Vec. Elem. 63,SOAP Vec. Elem. 64,SOAP Vec. Elem. 65,SOAP Vec. Elem. 66,SOAP Vec. Elem. 67,SOAP Vec. Elem. 68,SOAP Vec. Elem. 69,SOAP Vec. Elem. 70,SOAP Vec. Elem. 71,SOAP Vec. Elem. 72,SOAP Vec. Elem. 73,SOAP Vec. Elem. 74,SOAP Vec. Elem. 75,SOAP Vec. Elem. 76,SOAP Vec. Elem. 77,SOAP Vec. Elem. 78,SOAP Vec. Elem. 79,SOAP Vec. Elem. 80,SOAP Vec. Elem. 81,SOAP Vec. Elem. 82,SOAP Vec. Elem. 83,SOAP Vec. Elem. 84,SOAP Vec. Elem. 85,SOAP Vec. Elem. 86,SOAP Vec. Elem. 87,SOAP Vec. Elem. 88,SOAP Vec. Elem. 89,SOAP Vec. Elem. 90,SOAP Vec. Elem. 91,SOAP Vec. Elem. 92,SOAP Vec. Elem. 93,SOAP Vec. Elem. 94,SOAP Vec. Elem. 95,SOAP Vec. Elem. 96,SOAP Vec. Elem. 97,SOAP Vec. Elem. 98,SOAP Vec. Elem. 99,SOAP Vec. Elem. 100,SOAP Vec. Elem. 101,SOAP Vec. Elem. 102,SOAP Vec. Elem. 103,SOAP Vec. Elem. 104,SOAP Vec. Elem. 105,SOAP Vec. Elem. 106,SOAP Vec. Elem. 107,SOAP Vec. Elem. 108,SOAP Vec. Elem. 109,SOAP Vec. Elem. 110,SOAP Vec. Elem. 111,SOAP Vec. Elem. 112,SOAP Vec. Elem. 113,SOAP Vec. Elem. 114,SOAP Vec. Elem. 115,SOAP Vec. Elem. 116,SOAP Vec. Elem. 117,SOAP Vec. Elem. 118,SOAP Vec. Elem. 119,SOAP Vec. Elem. 120,SOAP Vec. Elem. 121,SOAP Vec. Elem. 122,SOAP Vec. Elem. 123,SOAP Vec. Elem. 124,SOAP Vec. Elem. 125,SOAP Vec. Elem. 126,SOAP Vec. Elem. 127,SOAP Vec. Elem. 128,SOAP Vec. Elem. 129,SOAP Vec. Elem. 130,SOAP Vec. Elem. 131,SOAP Vec. Elem. 132,SOAP Vec. Elem. 133,SOAP Vec. Elem. 134,SOAP Vec. Elem. 135,SOAP Vec. Elem. 136,SOAP Vec. Elem. 137,SOAP Vec. Elem. 138,SOAP Vec. Elem. 139,SOAP Vec. Elem. 140,SOAP Vec. Elem. 141,SOAP Vec. Elem. 142,SOAP Vec. Elem. 143,SOAP Vec. Elem. 144,SOAP Vec. Elem. 145,SOAP Vec. Elem. 146,SOAP Vec. Elem. 147,SOAP Vec. Elem. 148,SOAP Vec. Elem. 149,SOAP Vec. Elem. 150,SOAP Vec. Elem. 151,SOAP Vec. Elem. 152,SOAP Vec. Elem. 153,SOAP Vec. Elem. 154,SOAP Vec. Elem. 155,SOAP Vec. Elem. 156,SOAP Vec. Elem. 157,SOAP Vec. Elem. 158,SOAP Vec. Elem. 159,SOAP Vec. Elem. 160,SOAP Vec. Elem. 161,SOAP Vec. Elem. 162,SOAP Vec. Elem. 163,SOAP Vec. Elem. 164,SOAP Vec. Elem. 165,SOAP Vec. Elem. 166,SOAP Vec. Elem. 167,SOAP Vec. Elem. 168,SOAP Vec. Elem. 169,SOAP Vec. Elem. 170,SOAP Vec. Elem. 171,SOAP Vec. Elem. 172,SOAP Vec. Elem. 173,SOAP Vec. Elem. 174,SOAP Vec. Elem. 175,SOAP Vec. Elem. 176,SOAP Vec. Elem. 177,SOAP Vec. Elem. 178,SOAP Vec. Elem. 179,SOAP Vec. Elem. 180,SOAP Vec. Elem. 181,SOAP Vec. Elem. 182,SOAP Vec. Elem. 183,SOAP Vec. Elem. 184,SOAP Vec. Elem. 185,SOAP Vec. Elem. 186,SOAP Vec. Elem. 187,SOAP Vec. Elem. 188,International Number 62,International Number 63,International Number 64,International Number 71,International Number 136,International Number 139,International Number 166,International Number 176,International Number 191,International Number 194,International Number 217,International Number 221,International Number 225,International Number 227,International Number 229,Density (g/cm3),Energy Per Atom (eV),Total Magnetization (microB/f.u.),Surface Energy (J/m2)
Ir,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.30435361,-52.35935345,1.70E-06,2.528886368
La,0.022197024,0.476603355,0.595806318,0.415837912,0.454114068,0.689114612,10.23338796,12.79285415,8.928662879,9.750509293,14.79632298,15.99246682,11.1618051,12.18920301,18.49702196,7.790286178,8.507349734,12.9098379,9.29041602,14.09813497,21.39381156,1.94E-32,-2.97E-32,5.54E-32,-1.20E-31,5.66E-32,-4.35E-32,5.48E-32,-1.55E-31,3.13E-31,-1.62E-31,8.30E-32,7.87E-31,-1.47E-30,8.99E-31,-2.45E-31,2.78E-30,-1.67E-30,4.90E-31,1.07E-30,-2.53E-31,1.26E-31,0.002136362,-0.004213663,0.011040149,-0.009047077,0.005731602,-0.109436008,0.008358112,-0.022235264,0.017126202,-0.007792345,0.222391335,0.061585378,-0.039645259,-0.004852474,-0.6308245,0.049483483,-0.078238771,0.36049922,0.277824378,0.200997073,6.558814344,2.98E-32,-8.34E-32,1.83E-31,-1.26E-31,2.07E-31,-5.59E-32,3.42E-31,-7.02E-31,4.80E-31,-7.21E-31,1.68E-31,1.95E-30,-1.07E-30,1.78E-30,-4.31E-31,8.14E-31,-1.22E-30,2.81E-31,1.92E-30,-4.60E-31,1.22E-31,0.001433191,-0.005419422,0.00802563,-0.016023433,0.035172814,-0.007177406,0.020493675,-0.030359801,0.060549248,-0.132676065,0.028019059,0.045115353,-0.08913398,0.192288211,-0.05322075,0.181189758,-0.409313756,0.035682221,0.989657614,0.173272829,1.031740068,1.01E-33,-3.21E-33,-3.54E-33,1.46E-33,-2.50E-33,9.76E-35,1.53E-32,5.41E-33,-6.07E-33,1.09E-32,-1.44E-33,8.05E-32,-8.14E-33,2.28E-32,-1.47E-33,2.13E-32,-3.20E-33,1.49E-33,2.78E-32,-1.52E-33,2.13E-33,0.000396019,-0.002054566,0.003435386,-0.005774863,0.011330951,0.002216752,0.010659189,-0.017822964,0.029960874,-0.05879063,-0.011516345,0.029801513,-0.050097069,0.098298115,0.019175543,0.08433935,-0.166362747,-0.0363324,0.334390238,0.101868779,0.181110796,1.08E-34,-3.42E-34,6.09E-34,-6.36E-34,4.16E-34,-1.24E-34,3.69E-33,-3.72E-33,3.72E-33,-3.39E-33,9.28E-34,5.80E-33,-5.43E-33,5.01E-33,-1.80E-33,1.79E-32,-1.06E-33,1.50E-33,7.98E-33,-2.89E-33,1.58E-33,6.67E-05,-0.000390303,0.000739065,-0.001148787,0.001766249,-0.001176656,0.002282742,-0.004322544,0.00671897,-0.01033089,0.006880894,0.008185252,-0.012724302,0.019570135,-0.013025146,0.01978825,-0.030484002,0.020001464,0.047375367,-0.027140766,0.070242711,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.139065893,-29.74478021,0.0005986,0.730991375
Li,0.025950037,0.502590359,0.67325231,0.533935589,0.510327234,0.610600153,9.733977105,13.03929225,10.34105948,9.883821936,11.82586932,17.46697579,13.85251838,13.2400191,15.84151725,10.98600398,10.50024974,12.56341748,10.03597348,12.00791674,14.36732219,4.99E-32,-1.60E-32,-1.61E-31,-4.73E-31,3.66E-31,-1.47E-31,6.33E-32,-7.40E-32,3.31E-31,-1.49E-32,-1.41E-32,7.96E-31,1.09E-30,-1.41E-30,5.97E-31,5.29E-30,-3.11E-30,1.25E-30,2.88E-30,-1.18E-30,5.06E-31,0.000646581,-0.001151159,0.004362518,-0.008189062,-0.023281968,-0.063476414,0.002060578,-0.00778318,0.0141529,0.041190937,0.115143243,0.029465204,-0.054622578,-0.15679427,-0.431664121,0.120152947,0.304829398,0.721725868,0.84555641,2.238930616,6.65091165,7.67E-33,1.65E-32,2.42E-32,-4.85E-32,-7.24E-33,6.13E-33,1.20E-31,1.64E-32,-2.12E-32,2.98E-32,5.35E-32,1.39E-31,-1.50E-31,-5.96E-32,-1.67E-32,5.22E-31,3.23E-32,-6.69E-33,1.77E-31,-2.23E-33,4.07E-32,0.000231375,-0.000884357,0.001408299,-0.003227513,-0.004722159,-0.024783708,0.003380181,-0.005382483,0.012326941,0.018022515,0.094770336,0.008579954,-0.019907316,-0.02949717,-0.149631981,0.053510153,0.090085499,0.305308417,0.16715069,0.3997371,2.896642509,1.48E-33,-1.14E-32,7.28E-33,-1.09E-32,7.75E-33,-1.83E-33,9.35E-32,-5.37E-32,8.18E-32,-6.00E-32,1.05E-32,6.75E-32,-3.71E-32,1.55E-32,-3.70E-33,1.49E-31,-6.97E-32,1.69E-32,6.86E-32,-1.83E-32,9.65E-33,8.13E-05,-0.000421087,0.000693141,-0.001119541,0.000660285,-0.007496322,0.002179847,-0.003588193,0.005795175,-0.003420887,0.038809431,0.00590645,-0.009541101,0.005617749,-0.063853314,0.016008634,-0.004584743,0.098961219,0.039157847,-0.091970919,0.759509924,9.02E-35,-2.36E-34,2.46E-35,-6.08E-34,9.87E-34,-3.37E-34,3.09E-33,-3.89E-33,1.68E-33,-3.75E-33,3.96E-34,1.51E-32,-7.01E-33,6.74E-33,6.46E-34,1.73E-32,-1.19E-32,1.44E-33,1.85E-32,-4.09E-33,3.50E-33,2.64E-05,-0.000154085,0.000289642,-0.000438392,0.000641269,-0.001851892,0.000900332,-0.001692438,0.002561619,-0.003750664,0.010828165,0.00318182,-0.004815929,0.007089958,-0.020432778,0.007291463,-0.010710279,0.031046105,0.019903751,-0.05181179,0.151885202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.564938029,-2.386706413,4.26E-05,
Lu,0.03407137,0.585203792,0.870370923,0.562412292,0.344235239,0.415725226,10.05135639,14.94933637,9.659893622,5.912523315,7.140422635,22.23407959,14.36711559,8.793668876,10.61991792,9.283676867,5.682252628,6.862329859,3.477931793,4.200220714,5.072512945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000242221,-0.000303526,0.000349593,-0.001576968,0.009651618,-0.014401323,0.000380349,-0.000438075,0.001976098,-0.012094436,0.018046287,0.000504562,-0.002276012,0.013930019,-0.020785188,0.010266794,-0.0628365,0.093759277,0.384582159,-0.57384076,0.856236335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000402959,-0.001509631,0.002254955,-0.00448244,0.011401174,-0.015859597,0.005655621,-0.008447876,0.016792838,-0.042712916,0.059415778,0.012618704,-0.025083684,0.063800847,-0.088750132,0.049861791,-0.126824453,0.176419084,0.322580509,-0.448725437,0.624199268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199955,-0.00103847,0.001755873,-0.00298488,0.005793573,-0.007826662,0.005393315,-0.009119157,0.015502028,-0.030089024,0.04064791,0.015418908,-0.026211232,0.050875303,-0.068728542,0.044557545,-0.086485008,0.11683446,0.167865098,-0.226772576,0.306351955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60E-05,-0.000386569,0.000740773,-0.001198575,0.002036338,-0.002689527,0.002265408,-0.004341144,0.007023991,-0.011933529,0.015761399,0.008318827,-0.0134599,0.022867924,-0.030203177,0.02177818,-0.037000407,0.04886888,0.062862466,-0.083026609,0.109658725,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.786151777,-38.07988018,1.6421141,
Mg,0.026437187,0.501028197,0.666227332,0.590185286,0.601881946,0.497416233,9.49530863,12.62610404,11.18498216,11.40665311,9.426855973,16.78918605,14.87289713,15.16765747,12.53508116,13.17533014,13.43644705,11.10434848,13.70273893,11.32442137,9.358896798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000156306,-0.000200047,0.002174839,-0.005426149,-0.020345116,-0.021224716,0.000256027,-0.002783441,0.006944589,0.026038445,0.02716419,0.030260602,-0.075499165,-0.283080936,-0.295319647,0.188367829,0.70627723,0.736812395,2.648156683,2.762646995,2.882087177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31E-06,-9.02E-06,3.58E-05,-0.000244121,-0.001338383,-0.001586667,3.51E-05,-0.000139627,0.000951371,0.005215844,0.006183438,0.000554759,-0.003779944,-0.02072336,-0.024567763,0.025755272,0.141202033,0.167396507,0.774133326,0.917743265,1.08799437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-07,-1.10E-06,1.66E-06,1.00E-05,0.000140438,0.00020975,5.74E-06,-8.72E-06,-5.24E-05,-0.000736115,-0.001099418,1.32E-05,7.95E-05,0.0011173,0.001668732,0.000478195,0.00671686,0.010031903,0.094346936,0.140910992,0.210456305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04E-08,-4.77E-07,9.72E-07,-8.15E-07,2.06E-05,4.37E-05,2.83E-06,-5.77E-06,4.83E-06,-0.000122421,-0.0002589,1.18E-05,-9.85E-06,0.000249552,0.000527762,8.26E-06,-0.000209158,-0.000442336,0.005297697,0.01120379,0.023694238,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.801799385,-4.169303585,0,0.58996887
Mn,0.032429971,0.330563706,0.458952548,1.10789215,1.756443354,5.58740129,3.369486963,4.678174285,11.29291598,17.90369868,56.95324523,6.495147446,15.67901277,24.85738146,79.07352371,37.84847741,60.00467341,190.8801607,95.13092937,302.6198802,962.6605407,4.83E-30,-5.87E-30,1.64E-29,-2.16E-29,2.73E-29,-1.29E-29,7.85E-30,-2.06E-29,2.81E-29,-3.60E-29,1.56E-29,6.58E-29,-7.89E-29,1.03E-28,-4.56E-29,1.03E-28,-1.33E-28,5.83E-29,1.72E-28,-7.40E-29,3.51E-29,0.019907189,-0.035916033,0.054218286,-0.160499686,0.198530988,-1.107700145,0.064798773,-0.097819221,0.289569362,-0.358184448,1.998483809,0.147666378,-0.437129413,0.54070968,-3.016880127,1.294012397,-1.600635897,8.930719757,1.979915555,-11.04690392,61.63600563,1.90E-31,-5.24E-31,8.47E-31,-1.12E-30,1.02E-30,-3.87E-31,1.47E-30,-2.34E-30,3.06E-30,-2.72E-30,1.01E-30,3.85E-30,-5.03E-30,4.51E-30,-1.71E-30,6.85E-30,-6.30E-30,2.35E-30,6.72E-30,-2.50E-30,9.81E-31,0.002570621,-0.009825093,0.015521544,-0.020219269,0.045572208,-0.070305412,0.037552584,-0.059358038,0.07708631,-0.174291081,0.26911313,0.096561804,-0.105759203,0.284545357,-0.45840189,0.252820615,-0.304575796,0.358278925,0.838854622,-1.358227688,2.327062693,2.08E-33,-9.42E-33,1.54E-32,-1.60E-32,9.31E-33,-1.06E-33,4.67E-32,-7.25E-32,7.77E-32,-4.71E-32,6.79E-33,1.27E-31,-1.25E-31,6.82E-32,-9.13E-33,1.48E-31,-9.19E-32,1.26E-32,1.05E-31,-3.07E-32,1.60E-32,9.50E-05,-0.000491897,0.000820942,-0.001183056,0.001865346,-0.003053678,0.002547868,-0.004252274,0.006129063,-0.009659903,0.015830192,0.007097961,-0.010242865,0.016091683,-0.026456922,0.01505265,-0.022736803,0.041526414,0.037563156,-0.056283448,0.163859914,6.99E-34,-3.80E-33,6.22E-33,-7.01E-33,5.58E-33,-2.02E-33,2.16E-32,-3.53E-32,3.94E-32,-3.15E-32,1.16E-32,5.96E-32,-6.60E-32,5.34E-32,-2.01E-32,7.76E-32,-6.24E-32,2.37E-32,5.32E-32,-1.93E-32,1.09E-32,6.79E-06,-3.96E-05,7.43E-05,-0.000119207,0.0001015,-7.57E-05,0.000231539,-0.000434167,0.00069637,-0.000592736,0.000450703,0.000814211,-0.001307092,0.001110684,-0.000908692,0.002113354,-0.001771865,0.002321442,0.001527443,-0.000985495,0.087888986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.005220777,-14.68333468,3.8883424,3.485083285
Mo,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.02490865,-26.07197944,0,2.910757605
Na,0.024631086,0.503033804,0.664246869,0.44260273,0.507041153,0.470446717,10.27331919,13.56572869,9.03915221,10.35516017,9.607802212,17.91329477,11.93603393,13.6737982,12.68692578,7.953249688,9.111161368,8.45358593,10.43765313,9.684341441,8.985398156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16E-05,1.74E-06,-0.000809779,-0.002437926,0.008313511,0.015108223,4.93E-08,-2.29E-05,-6.89E-05,0.000235073,0.0004272,0.010636988,0.032023785,-0.10920353,-0.198456618,0.096411016,-0.328768855,-0.597474783,1.121126659,2.037434192,3.702648629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93E-05,-0.000178102,0.00016127,-0.001082439,0.004132128,0.010083176,0.000643885,-0.000583031,0.003913296,-0.014938707,-0.036453281,0.000527929,-0.003543452,0.013526855,0.033008094,0.023783588,-0.090792019,-0.221549755,0.346591557,0.845749165,2.063788446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27E-06,-3.79E-05,6.25E-05,-0.000156017,0.000559018,0.002119222,0.000197167,-0.000325435,0.000812633,-0.002911723,-0.011038256,0.000537151,-0.0013413,0.004805973,0.018219298,0.003349311,-0.012000823,-0.045494759,0.042999808,0.163010983,0.61796975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08E-07,-1.81E-06,3.50E-06,-6.89E-06,2.17E-05,0.000186321,1.06E-05,-2.06E-05,4.05E-05,-0.000127365,-0.001094482,3.98E-05,-7.83E-05,0.000246468,0.002117969,0.000154032,-0.000484867,-0.004166597,0.001526274,0.013115706,0.112706966,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.033494164,-3.56418057,5.00E-07,0.21194091
Nb,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.44967196,-24.73407465,4.00E-06,2.145482825
Nd,0.022310921,0.476026064,0.592904206,0.426430915,0.46652548,0.697241198,10.1564975,12.65021087,9.098334846,9.95379293,14.87634612,15.75620287,11.33223874,12.39773648,18.5289186,8.150417699,8.916749212,13.32644234,9.755133962,14.57944226,21.78956612,5.85E-32,3.25E-33,-7.10E-32,-2.93E-31,2.54E-32,2.41E-32,1.74E-32,3.24E-32,-1.32E-31,-3.58E-32,-7.35E-32,2.04E-31,4.10E-32,-1.53E-32,-1.36E-31,2.36E-30,-3.56E-32,2.96E-31,3.04E-31,2.89E-31,3.99E-31,0.002142584,-0.004160843,0.011344062,-0.010037586,0.002943934,-0.113637562,0.008119653,-0.022453603,0.018974091,-0.002337916,0.226146065,0.064693496,-0.047434569,-0.021201193,-0.662407303,0.054087556,-0.059066259,0.456920345,0.296536245,0.32438447,6.837315061,4.06E-32,1.16E-31,6.15E-34,-2.11E-32,-1.27E-31,-1.04E-32,7.34E-31,2.12E-31,2.07E-31,-6.67E-31,-1.42E-32,4.35E-31,-4.94E-32,-8.58E-32,-2.34E-32,7.22E-31,-3.84E-31,4.39E-32,7.61E-31,1.47E-32,1.19E-32,0.001385491,-0.005235174,0.007737374,-0.015333948,0.03523888,-0.010547945,0.019782316,-0.029249061,0.057907762,-0.132791954,0.040711325,0.043412369,-0.085123705,0.191156148,-0.072717461,0.170996108,-0.404235706,0.082161613,1.053580509,0.114221161,1.039463064,7.33E-34,-3.67E-34,4.37E-34,-4.99E-34,2.83E-33,1.29E-33,5.43E-32,-4.65E-32,1.47E-32,-1.21E-32,1.19E-32,5.03E-32,-2.05E-32,1.73E-32,-1.15E-32,3.48E-32,-1.69E-32,6.23E-33,2.11E-32,6.42E-34,7.46E-33,0.000397688,-0.002063508,0.003451727,-0.005791664,0.011894223,0.001231411,0.010707043,-0.017910177,0.030052075,-0.06172196,-0.006404823,0.029959399,-0.050269199,0.103230132,0.010601789,0.084445888,-0.17433218,-0.02124959,0.368788719,0.079600582,0.16546341,7.13E-35,-1.83E-34,5.52E-34,-7.19E-34,3.06E-34,3.93E-35,1.42E-33,-5.03E-34,6.10E-34,2.00E-34,1.93E-34,6.59E-33,-7.70E-33,2.63E-33,9.67E-34,1.23E-32,-4.19E-33,-1.06E-33,4.22E-33,-2.03E-35,4.15E-34,6.91E-05,-0.000404293,0.00076669,-0.001197554,0.001885245,-0.001283672,0.00236516,-0.004485239,0.007005957,-0.011029746,0.007508438,0.008505907,-0.01328742,0.0209255,-0.01423266,0.020764388,-0.032753919,0.022044245,0.052246292,-0.030582946,0.06711538,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.754398467,-29.41800898,0.0001195,0.86899547
Ni,0.031016372,0.561155398,0.81839774,0.565733382,0.391654143,0.273745385,10.15255376,14.80664195,10.23537972,7.085897706,4.952665073,21.59423639,14.92743661,10.33418317,7.223043598,10.31888138,7.143705452,4.993069609,4.945548427,3.456674931,2.416031661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.289219853,-11.98171716,0.707331,2.035440374
